37	FARMINGTON	MO	63640
2284	NAUGATUCK	CT	6770
2274	FOREST LAKE	MN	55025
4368	OCALA	FL	34472
2102	LUDINGTON	MI	49431
550	LAWRENCEVILLE	IL	62439
1317	ASHEVILLE	NC	28805
3214	SUFFOLK	VA	23435
4275	PEORIA	AZ	85381
179	SPRINGFIELD	MO	65807
214	JASPER	TX	75951
46	BOLIVAR	MO	65613
938	MONTGOMERY	AL	36117
2079	MARQUETTE	MI	49855
2834	FORT WORTH	TX	76244
3474	BRADENTON	FL	34208
5201	EDISON	NJ	8817
4686	BENTONVILLE	AR	72712
5497	EVANS MILLS	NY	13637
2209	ZANESVILLE	OH	43701
612	CHARLESTON	IL	61920
7194	ADEL	GA	31620
5312	FORT WORTH	TX	76111
1880	COOS BAY	OR	97420
30	DEXTER	MO	63841
1793	WOODBURN	OR	97071
2883	PLANO	TX	75024
4168	BEEBE	AR	72012
5319	MACARTHUR	WV	25873
7180	WAXHAW	NC	28173
1712	LARGO	FL	33770
3415	TARPON SPRINGS	FL	34689
5149	BLUE SPRINGS	MO	64014
368	PARSONS	KS	67357
4295	ALEXANDRIA	LA	71303
4554	AUSTIN	TX	78757
1415	SPIRIT LAKE	IA	51360
909	CHALMETTE	LA	70043
307	WEST MONROE	LA	71291
3387	NORTH PORT	FL	34287
2964	LEOMINSTER	MA	1453
921	SALIDA	CO	81201
2854	LISBON	CT	6351
2003	NORTH BRUNSWICK	NJ	8902
3581	ZANESVILLE	OH	43701
3803	WEST HAVEN	CT	6516
6548	TAMPA	FL	33624
265	TERRELL	TX	75160
1141	GREENFIELD	IN	46140
2697	ANTIOCH	CA	94531
4330	CHELSEA	AL	35043
5234	CLINTON	UT	84015
2962	POMPANO BEACH	FL	33069
5463	HARTFORD	WI	53027
3144	MILWAUKIE	OR	97267
2558	STERLING HEIGHTS	MI	48314
1225	ORANGE PARK	FL	32065
4498	CORAL SPRINGS	FL	33067
1004	BRADENTON	FL	34210
1839	LORAIN	OH	44053
2927	WOOD VILLAGE	OR	97060
3893	ZION	IL	60099
1819	MENOMONIE	WI	54751
2916	EAST MEADOW	NY	11554
2166	EAST SYRACUSE	NY	13057
876	MANY	LA	71449
1392	WILMINGTON	NC	28403
4340	HESPERIA	CA	92345
4626	JUNCTION CITY	KS	66441
1230	SHOW LOW	AZ	85901
2245	OCEANSIDE	CA	92057
3384	HEREFORD	TX	79045
5095	HARTFORD	CT	6106
5864	GARDNERVILLE	NV	89410
1849	WINSTON SALEM	NC	27105
4676	ALBUQUERQUE	NM	87120
2700	WHITE LAKE	MI	48386
3428	FARMINGTON	NM	87401
764	BESSEMER	AL	35022
1154	FREDERICKSBURG	TX	78624
1390	PINELLAS PARK	FL	33781
3102	PRINCETON	MN	55371
1146	MONCKS CORNER	SC	29461
2064	MILFORD	PA	18337
502	GALLIANO	LA	70345
6149	ORLANDO	FL	32824
6978	JACKSONVILLE	FL	32244
3857	MONONA	WI	53713
6952	TIMBERVILLE	VA	22853
5358	SHIPPENSBURG	PA	17257
4560	WEST PALM BEACH	FL	33411
1985	LAUREL	MD	20724
234	KANSAS CITY	MO	64158
3262	CAMBRIDGE	OH	43725
5779	KING GEORGE	VA	22485
3292	UNION	NJ	7083
5744	THEODORE	AL	36582
3792	LANCASTER	OH	43130
292	LOCKHART	TX	78644
2110	PARAMOUNT	CA	90723
694	HENDERSON	KY	42420
1368	WEST UNION	OH	45693
1841	CHESAPEAKE	VA	23320
3295	BROKEN ARROW	OK	74011
4586	BILOXI	MS	39532
7242	FARMINGTON	AR	72730
318	ARKADELPHIA	AR	71923
2950	PALMDALE	CA	93552
3462	SUWANEE	GA	30024
2491	DANVILLE	IL	61834
2723	SUMITON	AL	35148
287	JASPER	AL	35501
1613	HIGH POINT	NC	27263
672	ALCOA	TN	37701
1422	ALMA	MI	48801
6263	WINSTON SALEM	NC	27106
5022	NEW ORLEANS	LA	70130
1978	PLYMOUTH	IN	46563
1986	NORWALK	OH	44857
4472	LITHONIA	GA	30038
616	ORANGEBURG	SC	29118
5349	MESA	AZ	85212
4401	ATLANTA	GA	30349
885	SEWARD	NE	68434
1547	LAFAYETTE	IN	47905
3802	MIDDLETOWN	DE	19709
7262	BATON ROUGE	LA	70816
1232	BELTON	TX	76513
3533	DENVER	CO	80207
305	CARTHAGE	MS	39051
2694	KIRKWOOD	MO	63122
812	DUMAS	TX	79029
1960	TAMPA	FL	33607
3133	LA PUENTE	CA	91744
1261	FAYETTEVILLE	NC	28311
3395	GRAND ISLAND	NE	68801
4237	INDIAN LAND	SC	29707
1711	BIRMINGHAM	AL	35210
3612	BURLINGTON	NC	27217
1828	PLOVER	WI	54467
5064	KALAMAZOO	MI	49048
3078	EAST BRUNSWICK	NJ	8816
517	MUSTANG	OK	73064
1085	PORT RICHEY	FL	34668
757	PLEASANTON	TX	78064
2804	OKLAHOMA CITY	OK	73118
3535	EPPING	NH	3042
5644	IRVINE	CA	92606
2938	LAFAYETTE	LA	70508
5245	SAN ANTONIO	TX	78223
3294	LOUISVILLE	KY	40291
3279	SAN ANTONIO	TX	78220
197	MACOMB	IL	61455
572	KILGORE	TX	75662
2682	BERLIN	VT	5602
2753	CLAYTON	GA	30525
4603	TUCSON	AZ	85711
9	SIKESTON	MO	63801
5439	NEW HAVEN	CT	6513
3049	TUCSON	AZ	85710
5032	BUENA PARK	CA	90620
777	WEST ORANGE	TX	77630
5741	ORLANDO	FL	32825
266	GRAPEVINE	TX	76051
1009	REPUBLIC	MO	65738
1656	MEADVILLE	PA	16335
3317	ALBUQUERQUE (GOLF)	NM	87114
5147	DALLAS	TX	75211
2922	TUCSON	AZ	85741
1370	BULLHEAD CITY	AZ	86442
1179	ARDEN	NC	28704
3829	JOHNSON CITY	TN	37604
5219	LAWRENCE	KS	66049
4374	LITCHFIELD	MN	55355
3234	ROGERSVILLE	TN	37857
1600	RIDGECREST	CA	93555
2656	ESPANOLA	NM	87532
2207	MIDVALE	UT	84047
4543	PARKER	AZ	85344
134	ELK CITY	OK	73644
6577	SLIDELL	LA	70458
1279	HOUSTON	TX	77037
3935	MIAMI	FL	33032
1219	JACKSONVILLE	FL	32218
1853	HEMET	CA	92545
397	MCALLEN	TX	78503
2164	SPRINGVILLE	NY	14141
3238	SPRINGFIELD	MO	65809
3655	LAS VEGAS	NV	89129
5376	TAWAS CITY	MI	48763
3209	ELK RIVER	MN	55330
7179	SWANSBORO	NC	28584
5837	ROGERS	AR	72758
5204	BOSSIER CITY	LA	71112
5425	SAN JACINTO	CA	92583
6370	MORRISTOWN	TN	37814
68	WYNNE	AR	72396
470	CORPUS CHRISTI	TX	78416
3138	BAKERSFIELD	CA	93312
3119	PANAMA CITY BEACH	FL	32413
5629	EUREKA	CA	95501
7301	CARENCRO	LA	70520
1759	GLOUCESTER	VA	23061
1553	BLOOMINGDALE	IL	60108
5374	EATON	OH	45320
2230	STATE COLLEGE	PA	16801
95	DESLOGE	MO	63601
5008	HEMET	CA	92543
1162	WASHINGTON	IN	47501
2027	LAVALE	MD	21502
2812	ROCHESTER	MN	55904
3785	PENSACOLA	FL	32507
6951	SUTTON	WV	26601
5363	LOVEJOY	GA	30250
125	FORT SMITH	AR	72901
1727	BERLIN	WI	54923
111	CHANUTE	KS	66720
3464	CHINO	CA	91710
90	GROVE	OK	74344
947	SHERMAN	TX	75092
